school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
0,0,18,1,1,1,1,1,1,2,1,0,0,1,0,1,1,1,0,4,3,3,3,3,3,20,9,8,6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0,19,1,0,0,2,2,2,2,1,1,0,0,0,1,1,0,1,3,3,3,2,2,2,24,8,8,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,18,1,1,0,2,3,2,2,1,0,0,1,1,0,1,1,1,3,3,3,4,3,3,25,7,9,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,18,1,1,0,3,2,2,2,2,1,0,0,0,0,1,1,1,3,3,3,2,2,3,27,9,8,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,18,1,0,0,2,2,2,2,2,0,0,1,1,0,0,0,1,3,4,3,3,2,3,22,9,8,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,18,0,0,0,3,2,1,2,2,0,0,1,0,0,0,1,0,4,4,4,4,4,3,24,9,10,11,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,18,0,0,0,2,2,1,2,2,0,0,1,0,1,1,0,0,3,3,3,2,2,3,16,8,8,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,18,0,0,1,2,3,2,2,1,0,1,1,1,0,0,1,0,4,3,3,4,3,4,16,8,8,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,19,0,0,0,3,2,2,2,2,0,1,0,0,0,0,0,0,3,3,4,3,4,4,22,8,8,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,18,0,0,0,3,2,2,2,2,1,1,0,1,0,0,1,0,4,4,3,3,3,3,18,7,7,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,19,1,0,0,2,2,2,2,2,0,0,1,0,1,0,0,0,3,4,3,2,2,3,25,8,7,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,1,18,0,0,0,2,3,1,1,2,0,0,1,0,0,0,0,0,4,4,4,3,4,3,14,8,8,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,18,0,1,0,3,2,2,2,1,1,1,0,0,0,0,1,0,3,3,4,3,4,2,18,10,10,11,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,19,0,0,0,3,3,2,2,2,1,0,1,0,0,0,0,1,3,3,3,2,2,3,21,9,9,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,18,1,0,0,3,3,2,3,1,0,0,1,0,0,0,1,1,3,3,3,3,2,3,18,9,10,12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,18,0,0,1,3,3,2,2,1,1,0,1,0,0,0,1,0,4,3,3,3,4,4,14,9,8,7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1,1,18,1,0,0,3,3,3,2,1,1,1,0,0,0,0,0,0,3,3,3,4,3,4,24,6,8,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,17,0,1,0,2,2,2,2,0,0,1,1,0,0,0,0,0,4,3,3,2,2,3,10,10,10,10,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,1,17,0,1,0,3,2,1,2,0,1,0,0,0,0,0,1,0,4,3,3,3,4,3,15,10,9,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,17,0,0,1,2,3,2,2,1,0,0,0,0,0,0,0,0,3,3,3,2,2,3,21,11,10,10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,19,0,1,0,3,3,1,2,2,1,0,1,0,0,1,0,0,3,3,3,2,2,2,22,9,8,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,1,18,0,1,1,2,2,2,2,1,1,0,0,0,0,0,1,0,3,3,3,2,3,3,15,8,9,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0,18,0,0,1,2,2,2,2,2,0,1,1,0,0,1,1,0,3,3,3,3,3,3,17,9,7,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,18,0,0,0,3,3,1,2,2,1,0,1,0,0,1,0,1,3,4,3,2,3,3,22,6,7,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,17,1,1,0,3,1,1,2,2,0,0,0,0,1,1,0,0,3,3,2,2,2,3,16,8,8,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,17,0,0,1,3,3,2,2,0,1,0,0,0,0,0,1,0,3,3,3,3,2,4,8,7,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,1,17,0,0,1,3,3,2,2,1,1,1,1,1,0,0,1,0,4,3,4,4,4,4,23,8,8,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,18,1,0,0,2,2,2,2,2,0,1,1,0,0,0,0,0,3,3,3,3,3,3,13,9,8,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,1,18,0,0,0,3,2,2,2,2,0,0,1,0,0,0,0,0,3,4,4,3,4,3,25,7,8,7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,18,1,0,1,2,2,2,2,1,1,1,0,1,0,0,1,1,4,3,3,3,3,3,8,8,5,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,18,0,1,0,2,2,2,2,2,1,1,1,0,0,0,1,0,3,3,3,3,3,3,17,8,9,10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,18,0,0,0,2,2,2,2,1,1,0,0,0,0,0,0,0,4,3,3,2,2,3,10,10,9,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,18,0,1,0,3,3,2,2,1,1,0,0,1,0,0,1,1,2,3,3,2,2,2,21,9,11,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,1,18,1,1,1,2,2,2,2,1,0,0,1,1,0,0,0,0,3,3,3,4,3,3,19,9,9,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,18,1,1,1,2,2,2,2,1,0,1,0,0,0,0,1,0,3,3,3,3,3,4,17,8,7,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,18,0,1,1,2,2,2,2,1,0,0,0,0,0,0,1,0,4,4,3,3,3,3,10,7,7,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,1,18,1,0,1,2,2,2,2,1,1,0,0,1,1,0,0,1,3,3,3,2,2,3,18,9,9,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,19,1,0,1,2,1,1,2,3,0,0,1,1,1,1,1,0,3,3,2,2,2,4,12,7,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,19,0,0,0,3,2,1,2,1,1,0,0,1,0,0,0,1,3,3,3,1,2,3,16,9,10,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,18,0,0,0,3,2,2,2,3,0,1,1,1,0,1,1,0,4,4,4,4,4,4,10,5,4,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,18,0,0,1,2,2,2,3,0,0,0,0,0,1,0,1,0,3,3,3,2,2,2,17,11,10,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,19,0,1,0,2,1,2,2,2,1,0,0,0,0,1,0,0,3,3,3,2,3,3,19,7,6,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,18,1,1,1,2,2,2,2,1,1,0,0,1,0,1,1,0,3,3,3,3,3,4,14,8,9,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,1,18,1,0,1,3,2,2,2,0,1,0,0,1,0,0,1,1,4,3,3,2,2,4,13,9,8,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,18,1,1,1,2,2,2,3,2,1,0,0,1,0,0,0,0,3,3,3,2,2,3,13,9,7,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,18,0,0,0,3,3,1,2,2,1,0,1,0,0,0,0,1,3,4,3,2,2,4,17,7,8,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,17,1,0,1,3,2,2,2,1,1,1,1,1,0,0,1,1,3,3,3,3,2,3,15,9,8,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,18,0,0,1,3,3,2,2,1,1,1,1,0,0,0,1,0,4,4,3,4,3,4,10,6,7,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1,19,1,0,1,2,2,2,1,2,0,0,1,1,0,1,0,0,4,4,3,4,3,3,8,5,6,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,18,0,0,1,1,1,2,2,1,1,0,0,1,1,0,0,0,3,3,2,1,2,3,8,9,9,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,1,18,0,0,1,3,2,2,2,2,1,0,1,1,0,0,1,0,3,4,3,2,3,4,16,8,8,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,18,0,0,0,2,2,2,2,1,0,0,0,0,0,0,1,0,3,3,3,2,2,4,19,9,9,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,18,0,1,0,2,2,2,2,1,0,0,0,0,0,0,0,0,4,3,3,2,2,3,12,7,7,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
