p:EPOCHS,p:LATENT_DIM,p:kl_weight,objective,job_id,m:timestamp_submit,m:timestamp_gather
53,17,0.004687394986975385,61.700057232384474,0,0.28128814697265625,0.6540467739105225
61,20,0.031093887158399877,61.700057232384474,1,0.6927144527435303,1.0428533554077148
90,13,0.03340384838018649,61.700057232384474,2,1.0794873237609863,1.4431865215301514
94,11,0.024416271195078637,61.700057232384474,3,1.4801788330078125,1.8361458778381348
99,9,0.023614252221874903,61.700057232384474,4,1.8731791973114014,2.227733850479126
77,15,0.02378143654334587,61.700057232384474,5,2.2646636962890625,2.6159112453460693
82,8,0.049664625924562625,61.700057232384474,6,2.652776002883911,3.0080208778381348
17,6,0.006505023696563258,61.700057232384474,7,3.2836928367614746,3.651188611984253
31,14,0.016785003117140207,61.700057232384474,8,3.688518524169922,4.041592359542847
21,9,0.012274422379182335,61.700057232384474,9,4.084692478179932,4.437354564666748
10,22,0.029085822103380975,61.700057232384474,10,4.658191442489624,5.013505935668945
74,22,0.02035299830269106,61.700057232384474,11,5.229222536087036,5.584282875061035
60,21,0.006984989821002876,61.700057232384474,12,5.801941156387329,6.16289758682251
92,9,0.03948588637014473,61.700057232384474,13,6.388040781021118,6.749934196472168
12,17,0.03949634833137107,61.700057232384474,14,7.205816745758057,7.5593061447143555
73,15,0.030054326783706304,61.700057232384474,15,7.769290924072266,8.123066186904907
81,13,0.0015323973308798153,61.700057232384474,16,8.33763313293457,8.687058448791504
44,9,0.028060408232398092,61.700057232384474,17,8.902034044265747,9.25832724571228
68,5,0.03041419414568466,61.700057232384474,18,9.471866607666016,9.827380657196045
17,16,0.033391413503668886,61.700057232384474,19,10.044124841690063,10.397515296936035
73,16,0.04491560060362812,61.700057232384474,20,10.614009141921997,10.966859817504883
86,4,0.023707955035722525,61.700057232384474,21,11.440157651901245,11.792023420333862
92,23,0.038967933669006874,61.700057232384474,22,12.010127067565918,12.361122369766235
83,20,0.0122396021689791,61.700057232384474,23,12.584261417388916,12.938907384872437
76,23,0.027768774828749152,61.700057232384474,24,13.164883852005005,13.516633749008179
92,21,0.03493176164025168,61.700057232384474,25,13.735897064208984,14.086749076843262
84,15,0.03862705532301783,61.700057232384474,26,14.303274154663086,14.652849674224854
50,10,0.029224148932478957,61.700057232384474,27,14.87076210975647,15.223951816558838
87,15,0.04270913820667297,61.700057232384474,28,15.691080331802368,16.04111647605896
23,24,0.021737452514907257,61.700057232384474,29,16.262057781219482,16.605300426483154
