Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg)
3,Kurinjipadi,ponmani,alluvial,78,38.2,dry,61,3,121,6,80.81,31.7,46,1773,18.8,21.1,186.4,271.6,166.4,250.6,60.6,64.4,18.9,33,16.7,32,16.0,32.4,16.0,32.3,6,8,8,9,E,W,NE,WSW,75.4,84,88,85,274,18526
4,Chinnasalem,CO_43,clay,105,53.0,wet,86,4,179,9,115.6,46.87,57,2730,19.2,20.8,187.0,271.0,166.8,250.1,60.8,64.1,18.2,32,15.7,32,15.3,31.6,15.4,32.5,4,8,7,10,E,ENE,NNW,NNW,74.6,79,90,87,402,26554
4,Panruti,delux ponni,clay,105,52.8,wet,84,4,158,8,111.82,40.28,60,2417,18.3,21.8,185.3,272.7,165.4,251.6,60.1,64.9,19.0,34,16.9,32,16.2,33.2,17.1,32.4,5,10,5,11,ENE,ENE,NNE,NNW,82.5,94,88,82,356,25211
2,Cuddalore,CO_43,clay,55,30.3,dry,46,2,104,5,68.32,24.34,33,1444,18.5,21.5,185.8,272.2,166.0,251.1,60.4,64.7,19.1,33,16.9,31,16.2,33.0,16.9,32.6,5,10,6,11,E,NE,NNE,NNW,77.1,88,88,82,200,15049
4,Cuddalore,CO_43,clay,113,55.0,dry,85,4,176,9,116.44,43.67,66,2616,19.5,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.8,33,17.8,32,17.0,32.4,16.1,32.8,9,9,10,9,SSE,W,NNW,WSW,66.2,83,85,85,411,25218
3,Sankarapuram,delux ponni,alluvial,80,42.9,wet,65,3,138,7,83.44,34.44,45,1923,18.6,21.3,185.7,272.3,166.0,251.0,60.3,64.7,19.5,33,16.9,31,16.8,32.3,16.0,33.6,8,8,8,8,W,WNW,SW,S,81.0,90,84,84,232,19563
3,Chinnasalem,delux ponni,alluvial,84,39.7,dry,69,3,134,7,84.73,35.05,51,1963,18.4,21.6,185.6,272.4,165.9,251.1,60.2,64.8,18.5,32,16.1,33,15.7,32.1,15.4,32.5,6,7,8,8,E,WNW,SE,NNW,82.9,87,87,86,311,20710
6,Cuddalore,ponmani,alluvial,138,69.6,dry,109,5,217,11,149.99,56.26,82,3301,19.5,20.5,186.9,271.0,166.8,250.1,60.8,64.2,19.0,34,16.8,32,16.1,31.5,16.2,32.3,5,7,8,8,SW,W,NNW,WSW,74.0,83,85,84,507,35492
4,Kallakurichi,ponmani,clay,100,51.5,wet,77,4,138,8,102.54,35.85,59,2242,18.9,21.2,185.6,272.2,165.8,251.2,60.3,64.7,19.3,34,17.2,31,16.7,32.2,16.5,32.5,6,9,7,8,ENE,W,SE,S,80.2,91,84,83,370,24324
3,Kurinjipadi,CO_43,clay,76,38.0,wet,61,3,116,7,86.97,30.19,48,1818,19.1,20.8,185.7,272.2,165.8,251.3,60.3,64.7,19.8,35,18.2,33,17.2,33.2,17.6,31.5,6,9,6,10,ENE,S,NNE,SSE,74.4,95,84,81,285,19233
4,Kurinjipadi,CO_43,clay,94,45.9,dry,67,4,153,7,112.75,38.54,58,2408,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.3,34,18.3,35,16.5,32.5,16.1,30.6,10,4,10,6,NW,S,SE,SSE,64.9,84,86,87,339,23444
5,Kurinjipadi,CO_43,alluvial,113,58.1,dry,89,5,187,9,121.15,45.68,70,2695,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.4,34,18.2,34,16.5,31.9,16.2,30.9,9,5,10,7,NW,W,SE,SSE,65.1,83,85,86,378,26302
3,Panruti,delux ponni,alluvial,77,40.4,wet,55,3,119,6,82.38,31.98,46,1909,18.6,21.5,185.2,272.7,165.4,251.7,60.0,65.0,19.5,34,17.5,31,16.9,32.9,17.1,32.4,5,10,5,10,ENE,NE,NNE,W,85.4,95,83,81,241,18981
2,Sankarapuram,delux ponni,clay,51,25.3,dry,46,2,102,5,64.17,26.17,33,1414,18.2,21.7,185.7,272.2,166.1,250.9,60.4,64.7,18.9,32,16.1,31,16.2,33.0,15.4,33.4,8,10,9,10,SSE,W,NE,NW,79.0,84,88,85,235,14640
3,Kallakurichi,CO_43,clay,75,41.4,wet,64,3,121,7,89.47,30.45,48,1856,18.7,21.3,186.1,272.1,166.1,250.9,60.5,64.6,19.1,33,17.4,33,16.4,32.5,15.9,31.8,8,6,8,7,E,W,NNE,SSE,75.6,90,85,85,264,19950
4,Sankarapuram,CO_43,alluvial,105,52.7,wet,86,4,175,8,114.77,45.09,64,2536,18.5,21.4,185.9,272.1,166.2,250.8,60.4,64.5,19.2,32,16.5,31,16.3,32.7,16.0,33.5,7,10,8,10,SW,W,SW,NW,77.4,85,87,84,390,27196
4,Chinnasalem,delux ponni,alluvial,99,49.9,wet,84,4,169,8,116.68,43.04,64,2437,18.3,21.7,185.7,272.5,165.9,251.1,60.2,64.8,18.5,32,16.1,33,15.6,32.5,15.4,32.2,7,7,7,8,E,WNW,NE,NNW,81.0,88,87,86,334,23228
3,Cuddalore,ponmani,clay,74,35.8,wet,62,3,121,6,79.01,32.21,41,1831,18.6,21.5,186.5,271.5,166.5,250.5,60.6,64.4,18.7,32,16.3,32,15.8,32.7,15.6,32.0,7,8,8,10,E,ENE,NE,NNW,73.2,82,90,86,266,18615
4,Panruti,CO_43,alluvial,97,46.1,dry,80,4,161,8,106.09,38.41,64,2412,18.5,21.5,185.4,272.7,165.5,251.5,60.1,65.0,19.5,34,17.4,30,17.2,32.9,17.2,32.9,5,11,6,11,ENE,NE,NNE,W,83.3,93,84,81,305,23017
3,Kurinjipadi,CO_43,alluvial,90,43.7,wet,65,3,134,7,96.55,37.52,50,2029,19.5,20.5,187.1,270.9,167.0,250.0,61.0,64.0,19.4,34,18.4,35,16.7,32.1,15.7,30.7,10,4,10,6,NW,S,SE,SSE,65.8,87,83,86,278,21993
5,Chinnasalem,ponmani,clay,128,61.5,dry,103,5,205,10,141.07,54.06,79,2984,18.3,21.7,185.8,272.3,166.0,251.1,60.2,64.8,18.8,33,16.4,32,16.1,32.6,15.8,32.5,7,8,7,9,E,NE,NNW,NNW,78.1,87,87,85,476,31024
3,Chinnasalem,delux ponni,clay,83,43.3,wet,66,4,140,7,89.03,35.59,50,1897,18.8,21.4,186.9,271.2,166.8,250.3,60.8,64.2,18.8,32,16.5,33,15.7,33.0,15.6,32.0,8,8,9,11,E,W,NE,NNW,69.3,82,90,86,258,19538
5,Sankarapuram,CO_43,alluvial,123,60.7,dry,100,5,197,10,129.28,51.99,74,2820,18.6,21.3,186.0,272.1,166.2,250.8,60.5,64.4,19.5,33,16.8,30,16.8,32.7,16.7,34.1,6,11,8,12,SW,W,SW,WSW,75.7,84,87,82,416,29516
5,Kallakurichi,CO_43,alluvial,125,63.4,wet,99,5,193,10,131.15,49.53,74,2895,19.2,20.9,185.7,272.4,165.8,251.2,60.2,64.7,19.0,34,16.8,31,16.4,31.6,16.4,32.4,5,9,6,8,W,W,SE,S,82.2,91,84,83,401,30405
4,Sankarapuram,ponmani,clay,108,53.3,dry,84,4,172,8,124.1,45.5,64,2617,18.2,21.8,185.9,272.1,166.2,250.9,60.3,64.7,19.9,32,16.7,30,17.1,33.5,16.1,34.0,9,10,9,11,SSE,ENE,SW,NW,73.4,87,87,84,417,27602
3,Panruti,delux ponni,alluvial,73,36.0,wet,62,3,128,6,80.23,32.67,44,1664,18.9,21.2,186.1,272.0,166.2,250.9,60.4,64.6,19.8,34,17.9,31,17.2,33.2,17.2,32.3,6,10,6,11,ENE,NE,NNE,W,73.9,91,86,81,260,17828
5,Chinnasalem,ponmani,clay,116,57.0,wet,94,5,172,9,126.93,46.47,68,2767,18.9,21.2,186.3,271.7,166.3,250.6,60.5,64.5,18.9,33,17.0,33,16.2,32.3,15.9,31.9,7,6,8,8,E,ENE,NE,SSE,74.5,87,87,85,441,29984
3,Chinnasalem,delux ponni,clay,73,36.1,wet,57,3,115,6,80.56,28.77,46,1699,18.2,21.8,185.3,272.7,165.4,251.6,60.0,65.0,18.6,33,16.5,33,15.8,33.1,16.3,32.2,5,10,5,10,E,NE,NNE,NNW,84.8,94,87,83,242,18289
4,Sankarapuram,delux ponni,alluvial,89,44.6,wet,72,4,152,7,99.12,40.15,56,2265,18.5,21.5,185.9,272.1,166.1,250.9,60.3,64.7,19.4,33,16.9,31,16.6,32.7,16.1,33.2,8,9,8,9,SSE,NE,SE,NW,77.7,88,86,84,330,22353
3,Chinnasalem,delux ponni,alluvial,81,40.3,dry,69,3,132,7,93.13,34.47,47,1774,18.2,21.8,185.6,272.5,165.9,251.1,60.2,64.8,18.9,33,16.3,32,16.2,33.5,16.1,32.4,5,10,6,12,E,ENE,NE,NNW,76.3,87,90,84,285,20486
4,Chinnasalem,ponmani,clay,102,48.3,wet,80,4,159,8,106.69,40.87,59,2388,18.5,21.4,186.4,271.6,166.5,250.5,60.6,64.4,18.8,32,16.0,30,15.7,32.4,15.7,33.3,6,10,8,11,SSE,W,NE,WSW,75.0,80,90,86,326,23011
4,Cuddalore,ponmani,clay,99,49.1,wet,79,4,167,8,120.29,43.67,60,2445,19.4,20.5,187.0,271.0,166.8,250.2,60.9,64.1,18.5,33,15.9,31,15.5,31.3,15.7,32.4,4,9,8,9,SW,W,NNW,WSW,75.3,80,88,85,394,26039
4,Cuddalore,ponmani,clay,103,53.0,wet,87,4,163,8,120.25,44.5,69,2469,19.2,21.0,186.2,271.9,166.3,250.7,60.5,64.5,19.1,34,16.8,31,16.4,31.7,16.3,32.5,5,8,8,8,SW,W,SE,WSW,76.7,85,85,83,416,25669
3,Chinnasalem,CO_43,alluvial,88,44.1,dry,65,3,146,7,97.47,37.98,54,2126,18.6,21.3,186.7,271.5,166.6,250.3,60.7,64.3,18.3,32,16.1,34,15.3,32.8,15.3,31.3,7,6,8,9,E,ENE,NE,NNW,71.4,82,91,87,314,20488
2,Panruti,CO_43,alluvial,62,30.5,dry,50,2,103,6,68.37,27.31,39,1446,18.8,21.3,185.6,272.5,165.8,251.3,60.3,64.8,19.5,34,17.5,31,16.9,32.9,17.3,32.9,5,11,5,11,ENE,NE,NNE,W,80.5,91,85,81,212,14316
4,Kurinjipadi,ponmani,clay,97,51.6,dry,82,4,181,9,120.86,48.74,59,2508,18.4,21.5,185.5,272.3,165.8,251.2,60.2,64.7,18.9,32,17.2,33,16.3,32.3,15.4,31.9,9,5,9,7,W,S,SE,S,81.4,89,83,86,410,28750
5,Sankarapuram,CO_43,clay,111,55.5,dry,91,4,181,9,118.25,46.28,61,2724,18.2,21.8,185.7,272.6,165.9,251.2,60.2,64.8,20.2,33,17.4,29,17.6,33.7,16.9,34.5,8,12,9,12,SSE,W,SW,NW,75.2,88,86,81,357,27326
3,Chinnasalem,CO_43,clay,69,36.1,wet,57,3,106,5,74.92,26.15,41,1685,18.1,21.9,185.3,272.7,165.5,251.5,60.1,64.9,18.2,32,15.8,34,15.2,33.1,15.4,31.9,5,7,6,10,E,ENE,NE,NNW,82.9,90,91,86,282,16723
3,Sankarapuram,CO_43,clay,76,36.9,wet,58,3,121,6,93.45,31.2,44,1883,18.2,21.8,185.5,272.5,165.8,251.2,60.2,64.8,19.9,33,17.3,30,17.2,33.6,16.4,33.4,8,10,9,11,E,NE,SW,NW,76.6,91,85,83,269,20228
3,Chinnasalem,CO_43,alluvial,68,36.0,dry,57,3,131,6,78.97,31.82,43,1817,18.2,21.8,186.1,272.1,166.2,250.7,60.4,64.6,18.2,31,15.7,33,15.2,32.9,15.2,31.8,6,7,8,10,E,ENE,NE,NNW,76.3,81,91,87,276,16083
5,Cuddalore,CO_43,alluvial,123,62.7,dry,96,5,194,10,127.04,49.39,73,2885,18.8,21.0,186.3,271.5,166.6,250.3,60.6,64.3,19.5,33,16.6,30,16.8,32.3,16.3,34.1,7,11,9,11,SSE,W,SW,NW,75.5,84,86,84,430,30729
2,Cuddalore,delux ponni,clay,65,35.6,dry,53,2,93,5,68.28,24.49,36,1629,18.4,21.5,185.7,272.3,165.8,251.2,60.3,64.8,19.1,34,17.6,33,16.4,33.3,17.3,32.0,5,9,5,11,ENE,ENE,NNE,W,75.1,92,89,83,230,18283
3,Kurinjipadi,CO_43,clay,83,40.9,wet,68,3,152,7,99.4,35.8,51,2145,18.5,21.6,186.6,271.5,166.6,250.3,60.6,64.3,20.0,32,17.7,32,17.0,33.7,15.9,32.8,10,8,10,11,SSE,W,NE,SSE,67.5,86,86,85,248,19719
3,Kallakurichi,CO_43,clay,91,44.6,dry,75,4,146,7,95.49,38.16,55,2137,18.6,21.4,185.6,272.4,165.7,251.3,60.2,64.8,19.1,33,16.9,32,16.3,32.0,16.0,32.7,7,7,8,8,W,WNW,SE,S,82.1,90,84,84,338,22832
4,Kurinjipadi,CO_43,alluvial,108,53.6,dry,83,4,164,9,115.91,43.0,65,2612,19.6,20.5,187.2,270.8,167.0,250.0,61.0,64.0,19.3,34,18.3,34,16.8,32.4,16.2,30.8,10,5,10,7,NW,S,SE,SSE,65.5,83,86,86,355,26177
4,Sankarapuram,CO_43,clay,92,48.3,wet,75,3,148,7,107.93,37.49,55,2391,18.9,21.1,186.0,272.1,166.1,250.9,60.3,64.6,19.8,33,17.8,32,17.2,32.9,16.3,32.6,9,7,9,8,W,S,SE,SSE,74.7,91,83,84,296,23029
3,Panruti,CO_43,alluvial,84,39.8,wet,69,3,141,6,87.79,34.81,52,2023,18.4,21.6,185.4,272.6,165.6,251.5,60.1,64.9,19.0,33,16.7,32,16.1,33.0,16.6,32.7,5,10,6,11,ENE,NE,NE,NNW,82.0,92,87,83,295,20113
3,Kallakurichi,delux ponni,alluvial,74,35.6,wet,57,3,114,6,77.65,32.52,43,1659,18.6,21.5,185.5,272.4,165.7,251.3,60.2,64.8,19.1,33,17.1,32,16.4,32.2,15.7,32.5,8,7,8,7,W,WNW,SE,S,83.2,90,83,85,267,17076
2,Sankarapuram,delux ponni,clay,36,18.1,wet,30,2,60,3,40.01,14.7,24,874,19.3,20.8,186.7,271.2,166.8,250.4,60.8,64.2,19.9,34,17.7,30,17.2,32.6,17.0,32.8,6,11,8,11,SW,W,NNE,W,70.6,88,85,81,129,8276
2,Cuddalore,delux ponni,alluvial,45,21.1,dry,34,2,74,3,45.96,18.5,28,1109,19.1,21.0,186.0,271.9,166.1,251.0,60.4,64.6,19.1,34,16.9,31,16.3,32.0,16.6,32.8,5,10,7,10,ENE,NE,NNE,WSW,79.3,88,85,83,161,10595
2,Kurinjipadi,delux ponni,clay,54,27.1,dry,42,2,82,4,58.87,19.54,31,1438,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.9,34,17.9,34,16.0,31.7,16.3,31.1,7,5,9,7,NW,S,SE,WSW,66.3,83,87,87,204,13799
2,Sankarapuram,delux ponni,alluvial,52,24.1,dry,40,2,79,4,55.21,22.26,30,1175,18.5,21.4,185.9,272.1,166.1,250.8,60.4,64.6,19.8,33,17.1,30,17.0,32.9,16.1,33.8,8,10,9,10,E,W,SW,NW,76.4,88,85,83,184,12034
4,Cuddalore,CO_43,alluvial,107,53.4,dry,82,4,167,9,112.81,45.1,64,2563,19.1,20.9,186.4,271.7,166.4,250.5,60.5,64.4,19.2,33,17.7,33,16.5,32.4,16.1,31.8,9,6,8,7,E,ENE,SE,SSE,73.4,88,85,85,387,26176
4,Sankarapuram,ponmani,clay,112,52.6,wet,87,4,179,8,118.89,50.07,65,2553,18.2,21.8,185.9,272.0,166.3,250.7,60.4,64.5,19.8,32,16.8,31,17.0,33.7,15.7,33.9,9,10,9,11,SSE,W,NE,NW,73.2,86,86,85,419,27100
4,Panruti,ponmani,clay,87,44.2,wet,75,4,143,8,105.38,37.91,57,2110,18.7,21.3,185.3,272.6,165.5,251.5,60.1,64.9,19.7,34,17.7,31,17.0,32.9,17.2,32.2,6,10,6,10,NW,NE,NNE,W,80.5,94,85,81,355,22594
4,Cuddalore,CO_43,clay,97,47.2,wet,75,4,142,7,103.95,39.53,59,2397,19.3,20.8,187.0,271.0,166.9,250.1,60.9,64.1,19.0,33,17.0,33,16.1,32.2,16.0,31.9,7,7,8,8,SW,ENE,NNW,SSE,69.3,82,88,86,348,23845
3,Sankarapuram,ponmani,clay,76,37.0,wet,61,3,121,5,82.45,32.21,46,1671,18.7,21.3,186.2,271.8,166.3,250.7,60.5,64.5,19.8,33,17.1,30,17.0,32.8,16.3,33.8,8,10,9,11,SW,W,SE,NW,74.2,86,85,83,302,17101
5,Chinnasalem,delux ponni,alluvial,113,56.3,wet,93,4,184,9,117.24,49.21,66,2644,18.7,21.2,186.7,271.3,166.7,250.3,60.7,64.2,19.6,32,17.3,31,16.9,33.5,16.0,33.2,9,9,9,11,SSE,W,SW,SSE,69.4,84,88,85,377,26850
5,Sankarapuram,ponmani,alluvial,125,61.8,dry,100,5,199,10,131.48,51.94,75,2893,19.3,20.7,186.9,271.1,166.8,250.2,60.9,64.1,19.8,33,17.2,30,17.0,32.5,16.4,33.3,7,10,9,10,SW,W,SW,WSW,70.2,84,86,83,448,30225
5,Kurinjipadi,ponmani,clay,129,64.7,dry,102,5,193,10,131.32,50.42,71,3100,19.3,20.7,187.0,271.0,166.8,250.1,60.9,64.1,19.0,34,18.3,35,16.5,33.1,16.1,30.7,9,5,9,7,NW,S,SE,NNW,66.6,90,88,86,472,30848
4,Kallakurichi,ponmani,alluvial,108,50.6,wet,86,4,177,9,121.5,48.07,68,2584,18.2,21.8,185.4,272.6,165.8,251.3,60.1,64.9,19.5,32,16.8,31,17.0,33.1,15.5,33.3,9,9,9,9,W,W,SW,NW,82.6,90,83,84,429,26587
3,Panruti,ponmani,alluvial,81,40.4,dry,66,3,134,7,94.52,36.51,49,1938,18.4,21.5,185.3,272.7,165.5,251.5,60.1,64.9,19.4,34,17.3,31,16.7,33.2,17.3,32.4,5,11,5,11,ENE,NE,NNE,W,81.6,93,87,81,288,20086
4,Chinnasalem,ponmani,alluvial,108,54.1,wet,85,4,167,8,115.02,45.8,63,2399,18.3,21.7,186.1,271.9,166.4,250.5,60.4,64.5,18.3,32,15.8,33,15.2,32.8,15.4,32.0,5,7,7,10,E,ENE,NE,NNW,74.9,81,91,87,383,24725
4,Panruti,delux ponni,alluvial,90,43.8,wet,72,4,139,7,100.3,38.79,53,2118,18.8,21.3,185.4,272.5,165.5,251.5,60.1,64.9,19.6,34,17.8,32,16.9,32.7,16.9,32.2,7,9,6,9,ENE,S,SE,S,80.9,94,84,82,319,22665
4,Kurinjipadi,ponmani,clay,117,55.5,wet,86,4,181,9,125.16,48.91,66,2584,18.5,21.2,186.5,271.5,166.5,250.4,60.6,64.2,18.2,31,16.8,35,15.3,32.5,15.1,30.7,10,4,10,6,E,S,SE,SSE,70.0,82,90,88,440,27500
4,Cuddalore,delux ponni,clay,100,51.5,wet,85,4,176,9,120.42,46.29,63,2660,18.6,21.4,186.2,271.7,166.4,250.6,60.6,64.4,18.8,32,16.2,31,15.8,32.5,15.8,32.9,6,9,8,10,SW,W,NE,WSW,74.4,81,89,85,355,27021
2,Panruti,CO_43,alluvial,56,27.1,dry,42,2,97,4,59.69,24.39,34,1372,18.8,21.2,186.0,272.0,166.2,250.9,60.5,64.5,19.7,34,17.6,31,17.0,33.0,17.0,33.0,7,10,7,11,ENE,ENE,NNE,WSW,74.5,89,86,82,207,13450
3,Sankarapuram,ponmani,clay,80,38.9,dry,63,3,130,6,90.57,32.84,47,1966,18.5,21.6,186.1,271.9,166.3,250.8,60.4,64.6,19.9,33,17.3,30,17.2,33.1,16.5,33.6,9,10,9,10,SSE,W,SW,NW,75.0,89,85,83,321,19992
4,Chinnasalem,CO_43,clay,92,49.9,dry,76,4,145,8,99.39,38.53,51,2347,18.4,21.7,186.0,272.1,166.3,250.6,60.4,64.6,18.4,32,16.6,34,15.6,33.1,15.5,31.4,6,6,7,9,E,ENE,NE,NNW,74.6,85,90,87,321,21225
3,Sankarapuram,ponmani,clay,90,46.0,wet,73,4,127,7,96.61,34.62,56,2040,18.7,21.3,185.7,272.3,165.8,251.2,60.3,64.7,19.4,33,17.6,32,16.7,32.4,16.4,32.3,8,7,8,7,NW,WNW,SW,S,77.8,91,85,84,349,21679
4,Sankarapuram,CO_43,clay,112,55.6,dry,90,4,176,9,122.98,45.48,67,2656,18.6,21.3,186.2,271.9,166.3,250.7,60.4,64.5,19.7,33,17.3,31,16.8,33.0,16.5,33.1,8,9,9,10,SSE,NE,SE,NW,73.5,88,86,84,400,27953
2,Kallakurichi,delux ponni,clay,57,27.6,wet,44,2,89,4,64.1,23.15,35,1314,18.7,21.4,185.4,272.6,165.6,251.5,60.1,64.9,19.1,33,16.9,32,16.4,32.1,16.0,32.4,6,8,7,7,W,NE,SE,S,84.5,92,83,83,192,14007
